County,Agency
Delaware,Colchester Town PD
Bronx,County Total
Cattaraugus,Cattaraugus County State Police
Westchester,Sleepy Hollow Vg PD
Westchester,Mount Kisco Vg PD
Rensselaer,Hoosick Falls Vg PD
Ontario,County Total
Rockland,Spring Valley Vg PD
Ulster,Woodstock Town PD
Westchester,New Castle Town PD
Westchester,Pelham Manor Vg PD
Putnam,Kent Town PD
Albany,Coeymans Town PD
St Lawrence,Gouverneur Vg PD
Livingston,Livingston County Sheriff
Cortland,Homer Vg PD
Orleans,Medina Vg PD
Montgomery,Montgomery County State Police
Onondaga,Liverpool Vg PD
Livingston,Nunda Town and Vg PD
Erie,Orchard Park Town PD
Columbia,Philmont Vg PD
Jefferson,Cape Vincent Vg PD
Schuyler,Schuyler County Sheriff
Essex,Ticonderoga Town PD
Region Total,Region Total
Suffolk,Lloyd Harbor Vg PD
Chemung,Chemung County Park PD
St Lawrence,Norfolk Town PD
Nassau,Freeport Vg PD
Allegany,Andover Vg PD
Otsego,Otsego County Sheriff
Chenango,Greene Vg PD
Schenectady,County Total
Oswego,Phoenix Vg PD
Niagara,Niagara County Sheriff
Westchester,Sleepy Hollow Vg PD
Albany,Coeymans Town PD
Cattaraugus,Cattaraugus County Park PD
Essex,Lake Placid Vg PD
Suffolk,Suffolk County Sheriff
Delaware,Walton Vg PD
Onondaga,Onondaga County State Police
Genesee,County Total
Genesee,Genesee County State Police
Otsego,County Total
Chautauqua,Carroll Town PD
Herkimer,Herkimer Vg PD
Montgomery,Amsterdam City PD
Erie,Cheektowaga Town PD
Ulster,Plattekill Town PD
Lewis,County Total
Fulton,Johnstown City PD
Orange,Monroe Vg PD
Erie,Tonawanda Town PD
Madison,Hamilton Vg PD
Ulster,Shawangunk Town PD
Richmond,County Total
Livingston,Nunda Town and Vg PD
Chautauqua,Jamestown City PD
Rensselaer,Rensselaer Poly Tech Police
Ontario,Phelps Vg PD
Schuyler,Schuyler County Park PD
Oneida,Boonville Vg PD
Westchester,Harrison Town PD
Albany,Cohoes City PD
Westchester,Sleepy Hollow Vg PD
Erie,Buffalo City PD
Dutchess,County Total
Steuben,Corning City PD
Rockland,South Nyack-Grand View PD
Greene,Greene County State Police
Fulton,Fulton County State Police
Westchester,Buchanan Vg PD
Nassau,Nassau County Park PD
Monroe,County Total
Herkimer,Frankfort Vg PD
Clinton,Rouses Point Vg PD
Broome,Endicott Vg PD
Monroe,Brockport Vg PD
Albany,Watervliet City PD
Nassau,Great Neck Estates Vg PD
Oneida,Rome City PD
Broome,Johnson City Vg PD
Genesee,County Total
Livingston,Mount Morris Vg PD
Chenango,Chenango County Sheriff
Rensselaer,East Greenbush Town PD
Oneida,Vernon Vg PD
Tompkins,Ithaca College PD
Rockland,Stony Point Town PD
Onondaga,North Syracuse Vg PD
Erie,Gowanda Vg PD
Broome,SUNY - Binghamton
Onondaga,Jordan Vg PD
Wyoming,Wyoming County State Police
Cattaraugus,Ellicottville Town PD
Orange,Orange County State Police
Jefferson,Brownville Vg PD
Cattaraugus,Allegany Vg PD
Fulton,Johnstown City PD
Otsego,Cooperstown Vg PD
St Lawrence,St Lawrence County State Police
Wayne,Lyons Vg PD
St Lawrence,SUNY College at Potsdam
Ulster,Lloyd Town PD
Seneca,Seneca County Park PD
Albany,Green Island Vg PD
Broome,Endicott Vg PD
Wayne,Lyons Vg PD
Wayne,Clyde Vg PD
Genesee,LeRoy Vg PD
Albany,Coeymans Town PD
Schuyler,County Total
Suffolk,Southampton Town PD
Region Total,Region Total
Westchester,Westchester Co Dept Pub Safety
Columbia,Hudson City PD
Region Total,Region Total
Broome,Johnson City Vg PD
Oneida,Sherrill City PD
Westchester,Westchester County State Police
Tioga,Tioga County Park PD
Kings,County Total
Herkimer,Little Falls City PD
Dutchess,Dutchess County Park PD
Orange,Warwick Town PD
Montgomery,Canajoharie Vg PD
Yates,Penn Yan Vg PD
Monroe,Webster Town and Vg PD
Erie,Brant Town PD
Onondaga,Manlius Town PD
Cayuga,County Total
Saratoga,Mechanicville City PD
Otsego,SUNY College At Oneonta
Broome,Endicott Vg PD
Putnam,Carmel Town PD
Ontario,Geneva City PD
Madison,Madison County Sheriff
Orange,Orange County Sheriff
Lewis,Lowville Vg PD
Schuyler,County Total
Erie,Gowanda Vg PD
Washington,Cambridge Vg PD
Saratoga,Stillwater Town PD
Erie,Erie County Sheriff
Steuben,Addison Vg PD
Rockland,Suffern Vg PD
Dutchess,Poughkeepsie City PD
Ulster,Ulster County Park PD
Broome,Broome County Sheriff
Chenango,Sherburne Vg PD
Dutchess,Wappingers Falls Vg PD
Jefferson,Cape Vincent Vg PD
Dutchess,Wappingers Falls Vg PD
Dutchess,Red Hook Vg PD
Genesee,Genesee County Park PD
Suffolk,Southampton Town PD
Albany,Bethlehem Town PD
Delaware,Delaware County (RR-RC) 
Madison,Chittenango Vg PD
Broome,SUNY - Binghamton
Cattaraugus,Allegany Vg PD
Erie,Erie County State Police
Albany,Colonie Town PD
Suffolk,Suffolk County MTA
Rensselaer,Hoosick Falls Vg PD
Erie,Tonawanda Town PD
Allegany,Andover Vg PD
Nassau,Old Westbury Vg PD
Cayuga,Port Byron Vg PD
Rockland,Clarkstown Town PD
Orange,Harriman Vg PD
Wyoming,Perry Vg PD
Orleans,Orleans County (RR-RC)
Onondaga,East Syracuse Vg PD
Ulster,Ellenville Vg PD
Cattaraugus,Cattaraugus County State Police
Ulster,Shandaken Town PD
Westchester,Westchester Co Dept Pub Safety
Sullivan,Woodridge Vg PD
Schenectady,Schenectady County Sheriff
Albany,Bethlehem Town PD
Herkimer,Frankfort Town PD
Ontario,Manchester Vg PD
Rockland,Orangetown Town PD
Chenango,Chenango County State Police
Monroe,Brockport Vg PD
Schoharie,County Total
Westchester,Buchanan Vg PD
Onondaga,Syracuse City PD
Westchester,Ardsley Vg PD
Suffolk,Amityville Vg PD
Cattaraugus,Salamanca City PD
Tompkins,County Total
Rockland,Clarkstown Town PD
Ulster,Lloyd Town PD
Livingston,Dansville Vg PD
Livingston,SUNY College At Geneseo
Tioga,Tioga County State Police
Columbia,Stockport Town PD
Rensselaer,Schodack Town PD
Ontario,Canandaigua City PD
Rensselaer,Troy City PD
Chemung,Elmira Heights Vg PD
Westchester,Buchanan Vg PD
Lewis,Lewis County Sheriff
Rockland,Clarkstown Town PD
Delaware,Hancock Vg PD
Erie,Hamburg Town PD
Rockland,Rockland County Park PD
Washington,Washington County Sheriff
Niagara,North Tonawanda City PD
Washington,Granville Vg PD
Cayuga,Cayuga County Sheriff
Suffolk,Suffolk County Park Police
Monroe,Brighton Town PD
St Lawrence,Norwood Vg PD
Orange,Cornwall Town PD
Erie,Erie County Sheriff
Clinton,SUNY College At Plattsburgh
Ontario,Clifton Springs Vg PD
Erie,Buffalo City PD
Onondaga,Liverpool Vg PD
Broome,Deposit Vg PD
Cortland,County Total
Wyoming,Attica Vg PD
Westchester,Dobbs Ferry Vg PD
Broome,Broome County State Police
Rockland,Stony Point Town PD
Rockland,Haverstraw Vg PD
Suffolk,East Hampton Town PD
Nassau,Sands Point Vg PD
Rockland,Haverstraw Town PD
Onondaga,Syracuse City PD
Bronx,County Total
Otsego,Oneonta City PD
Monroe,Greece Town PD
Otsego,Otsego County Sheriff
Monroe,Brighton Town PD
Schenectady,County Total
Dutchess,Fishkill Vg PD
Oswego,Oswego County Park PD
Ulster,Saugerties Town PD
Columbia,Columbia County Sheriff
Tompkins,Tompkins County Park PD
Otsego,Cooperstown Vg PD
Rockland,Suffern Vg PD
Hamilton,Hamilton County State Police
Wyoming,Wyoming County Sheriff
Sullivan,Sullivan County State Police
Westchester,Westchester Co Dept Pub Safety
Schenectady,Scotia Vg PD
Putnam,Kent Town PD
Albany,Albany County State Police
Onondaga,County Total
Wayne,Sodus Point Vg PD
Albany,Guilderland Town PD
Chenango,Afton Vg PD
Otsego,Cooperstown Vg PD
Westchester,Bronxville Vg PD
Oneida,Oriskany Vg PD
Ulster,Saugerties Town PD
Onondaga,North Syracuse Vg PD
Nassau,Glen Cove City PD
Yates,County Total
Schenectady,County Total
Saratoga,Saratoga County State Police
Washington,Washington County Sheriff
Wyoming,Wyoming County State Police
Chautauqua,Chautauqua County Park PD
Broome,Binghamton City PD
Wayne,Wolcott Vg PD
Erie,Depew Vg PD
Warren,Warren County Sheriff
Orange,Walden Vg PD
Chautauqua,Westfield Vg PD
Rensselaer,Hoosick Falls Vg PD
Schenectady,Schenectady County Sheriff
Rockland,Haverstraw Vg PD
Orange,Newburgh Town PD
Wyoming,Arcade Vg PD
Orange,Woodbury Town PD
Broome,SUNY - Binghamton
Tioga,Waverly Vg PD
Monroe,Ogden Town PD
Albany,County Total
Yates,Yates County State Police
Ulster,SUNY College at New Paltz
Putnam,County Total
Ulster,Ulster County Park PD
Orange,Cornwall-On-Hudson Vg PD
Chenango,Bainbridge Vg PD
Clinton,Clinton County (RR-D and H)
Westchester,Dobbs Ferry Vg PD
Saratoga,Ballston Spa Vg PD
Rockland,South Nyack-Grand View PD
Seneca,Waterloo Vg PD
Jefferson,Jefferson County State Police
Herkimer,Ilion Vg PD
Chautauqua,Ellicott Town PD
Onondaga,Onondaga County Park PD
Warren,Bolton Town PD
Niagara,Niagara County Sheriff
Albany,Albany County Park PD
Rensselaer,Rensselaer Poly Tech Police
Herkimer,County Total
Orange,Maybrook Vg PD
Columbia,Chatham Vg PD
Wyoming,Arcade Vg PD
Schoharie,Cobleskill Vg PD
Rockland,Orangetown Town PD
Dutchess,Poughkeepsie City PD
Herkimer,Mohawk Vg PD
Columbia,County Total
Orleans,Albion Vg PD
Tompkins,Cayuga Heights Vg PD
Columbia,Stockport Town PD
Saratoga,Saratoga Springs City PD
Orleans,Orleans County Sheriff
Washington,Washington County (RR-D and H)
Columbia,Greenport Town PD
Westchester,Elmsford Vg PD
Suffolk,East Hampton Vg PD
Genesee,Genesee County State Police
Schenectady,Niskayuna Town PD
Wyoming,Arcade Vg PD
Essex,Lake Placid Vg PD
Chenango,Chenango County Sheriff
Orange,Woodbury Town PD
Nassau,Lynbrook Vg PD
Onondaga,Onondaga County Sheriff
Montgomery,Montgomery County State Police
Greene,Coxsackie Vg PD
Region Total,Region Total
Steuben,Bath Vg PD
Westchester,Ardsley Vg PD
Suffolk,Head-of-the-Harbor Vg PD
Clinton,County Total
Onondaga,SUNY College-Env. Science and Forestry
Fulton,Fulton County State Police
Westchester,Hastings-on-Hudson Vg PD
Broome,Port Dickinson Vg PD
Jefferson,Cape Vincent Vg PD
Ulster,Rosendale Town PD
Oswego,Central Square Vg PD
Westchester,Eastchester Town PD
Nassau,Sands Point Vg PD
Montgomery,St Johnsville Vg PD
Columbia,Columbia County Sheriff
Tompkins,Tompkins County Park PD
Cortland,Homer Vg PD
Nassau,Old Westbury Vg PD
Warren,County Total
Suffolk,Lloyd Harbor Vg PD
Yates,Penn Yan Vg PD
Clinton,Plattsburgh City PD
Rockland,Stony Point Town PD
Washington,Washington County State Police
St Lawrence,Norwood Vg PD
Chenango,Chenango County State Police
Onondaga,Syracuse City PD
Rockland,Piermont Vg PD
Montgomery,County Total
Cortland,Cortland County State Police
Monroe,Rochester City PD
Delaware,Delaware County State Police
Dutchess,Pawling Vg PD
Niagara,Niagara County Park PD
Erie,Evans Town PD
Saratoga,Mechanicville City PD
Orange,Orange County State Police
Chenango,Greene Vg PD
Westchester,New Castle Town PD
Erie,Lancaster Town PD
Monroe,East Rochester Vg PD
Erie,Lackawanna City PD
Oswego,Oswego County Sheriff
Orange,Newburgh Town PD
Nassau,Lynbrook Vg PD
Westchester,Tuckahoe Vg PD
Cortland,Cortland County Sheriff
Oneida,Rome City PD
Tompkins,Tompkins County Sheriff
Rensselaer,North Greenbush Town PD
Chautauqua,Jamestown City PD
Nassau,Rockville Centre Vg PD
Westchester,Sleepy Hollow Vg PD
Genesee,Batavia City PD
Onondaga,Onondaga County (RR-RC)
Orleans,Orleans County State Police
Onondaga,Marcellus Vg PD
Onondaga,Onondaga County State Police
Madison,Cazenovia Vg PD
Broome,Broome County State Police
Genesee,Batavia City PD
Westchester,Yorktown Town PD
New York,County Total
Livingston,Avon Vg PD
Herkimer,Little Falls City PD
Chenango,New Berlin Town PD
Lewis,Lewis County State Police
Jefferson,Brownville Vg PD
Albany,Green Island Vg PD
Orange,Montgomery Town PD
Putnam,Putnam County Sheriff
Livingston,Livingston County Park PD
Montgomery,Canajoharie Vg PD
St Lawrence,Massena Vg PD
Oneida,Camden Vg PD
Steuben,Steuben County State Police
Onondaga,Jordan Vg PD
Oneida,Utica City PD
Columbia,Chatham Vg PD
Saratoga,Mechanicville City PD
Westchester,Mount Kisco Vg PD
Montgomery,St Johnsville Vg PD
Monroe,Brockport Vg PD
Albany,Altamont Vg PD
Oswego,SUNY College At Oswego
Westchester,Peekskill City PD
Livingston,Dansville Vg PD
Nassau,Garden City Vg PD
Rensselaer,County Total
Suffolk,Northport Vg PD
Sullivan,Fallsburg Town PD
Chenango,Chenango County (RR-D and H)
Orange,Greenwood Lake Vg PD
Dutchess,Poughkeepsie City PD
Putnam,Putnam County Sheriff
Otsego,Otsego County Sheriff
Dutchess,Wappingers Falls Vg PD
Franklin,Tupper Lake Vg PD
Franklin,Franklin County State Police
Livingston,Geneseo Vg PD
Westchester,SUNY College at Purchase
Ontario,Canandaigua City PD
Wayne,Sodus Vg PD
Oneida,Rome City PD
Erie,West Seneca Town PD
Wayne,Palmyra Vg PD
Broome,Vestal Town PD
Suffolk,Quogue Vg PD
Montgomery,County Total
Oneida,Oneida County State Police
Cortland,Cortland County State Police
Oneida,New York Mills Vg PD
Saratoga,County Total
Westchester,Irvington Vg PD
Cattaraugus,Olean City PD
Suffolk,Suffolk County Park Police
Allegany,Bolivar Vg PD
Ulster,Ellenville Vg PD
Steuben,Hornell City PD
Bronx,County Total
Wayne,Clyde Vg PD
Rockland,Ramapo Town PD
Saratoga,County Total
Allegany,Angelica Vg PD
Steuben,Hornell City PD
Dutchess,Millerton Vg PD
Montgomery,County Total
Clinton,Rouses Point Vg PD
Cortland,Cortland County Sheriff
Montgomery,Montgomery County State Police
Ulster,Olive Town PD
Orange,Port Jervis City PD
Jefferson,Carthage Vg PD
Chenango,Chenango County Sheriff
Westchester,Eastchester Town PD
Saratoga,Saratoga County Sheriff
Columbia,Greenport Town PD
Steuben,Hornell City PD
Saratoga,South Glens Falls Vg PD
Sullivan,Neversink PCT (NYC-BWSP)
Oswego,Pulaski Vg PD
Schenectady,Schenectady County State Police
Cattaraugus,Portville Vg PD
Monroe,Rochester City PD
Erie,Akron Vg PD
Monroe,Rochester City PD
Suffolk,Nissequogue Vg PD
Erie,Tonawanda City PD
Livingston,Mount Morris Vg PD
Suffolk,Nissequogue Vg PD
Livingston,Geneseo Vg PD
Onondaga,Geddes Town PD
Onondaga,Skaneateles Vg PD
Suffolk,Shelter Island Town PD
Schoharie,County Total
Fulton,Fulton County State Police
Orange,Mount Hope Town PD
Ulster,SUNY College At New Paltz
Orange,Washingtonville Vg PD
Greene,Windham Town PD
Delaware,Walton Vg PD
Suffolk,Southampton Town PD
Madison,Canastota Vg PD
Chautauqua,Carroll Town PD
Essex,Essex County State Police
Essex,Essex County Sheriff
Dutchess,Millbrook Vg PD
St Lawrence,Norfolk Town PD
Steuben,Steuben County Park PD
Cattaraugus,Cattaraugus Vg PD
Dutchess,Red Hook Vg PD
Chenango,Norwich City PD
Niagara,Niagara County Sheriff
Schuyler,Schuyler County State Police
Ulster,New Paltz Town and Vg PD
Seneca,Seneca County State Police
Clinton,Clinton County State Police
Chautauqua,Ellicott Town PD
Westchester,Croton-On-Hudson Vg PD
Yates,Yates County State Police
Rensselaer,North Greenbush Town PD
Clinton,Clinton County Sheriff
Dutchess,Rhinebeck Vg PD
Montgomery,Montgomery County (RR-RC)
Ulster,Plattekill Town PD
Niagara,North Tonawanda City PD
Dutchess,County Total
Dutchess,Dutchess County Park PD
Madison,Madison County Sheriff
Herkimer,Herkimer County (RR-RC)
Tompkins,Tompkins County Sheriff
Columbia,Columbia County Sheriff
Suffolk,Suffolk County Park Police
St Lawrence,Norfolk Town PD
Rensselaer,Schodack Town PD
Steuben,Corning City PD
Orange,Cornwall-On-Hudson Vg PD
Broome,Binghamton City PD
Tompkins,Dryden Vg PD
Suffolk,County Total
Ulster,Plattekill Town PD
Schuyler,County Total
Westchester,White Plains City PD
Albany,Guilderland Town PD
Cattaraugus,Cattaraugus County Sheriff
Chautauqua,Ellicott Town PD
Rensselaer,Schodack Town PD
Madison,Madison County (RR-RC)
Allegany,Wellsville Vg PD
Lewis,Lowville Vg PD
Allegany,Belmont Vg PD
Tompkins,County Total
Chautauqua,Chautauqua County Park PD
Genesee,Genesee County State Police
Montgomery,Montgomery County (RR-RC)
Orange,Port Jervis City PD
Fulton,Fulton County State Police
Rockland,Haverstraw Town PD
Saratoga,Ballston Spa Vg PD
Herkimer,Mohawk Vg PD
Jefferson,Jefferson County Park PD
Oneida,Boonville Vg PD
Oswego,Oswego County Park PD
Schenectady,Rotterdam Town PD
Schenectady,Glenville Town PD
Livingston,Nunda Town and Vg PD
Schenectady,County Total
Rockland,Rockland County Park PD
Orange,New Windsor Town PD
Steuben,Caton Town PD
Cattaraugus,Olean City PD
Montgomery,Canajoharie Vg PD
Chenango,Bainbridge Vg PD
Westchester,North Castle Town PD
Schenectady,Rotterdam Town PD
Saratoga,Ballston Spa Vg PD
Erie,Evans Town PD
Monroe,Fairport Vg PD
Niagara,County Total
Nassau,Nassau County Park PD
Onondaga,East Syracuse Vg PD
Putnam,Cold Spring Vg PD
Franklin,Saranac Lake Vg PD
Tompkins,Tompkins County Sheriff
Westchester,Harrison Town PD
Cayuga,Auburn City PD
Broome,Vestal Town PD
Oswego,Oswego County State Police
Chautauqua,Ellicott Town PD
Nassau,Garden City Vg PD
Seneca,Seneca County State Police
Clinton,Clinton County Park PD
Suffolk,Shelter Island Town PD
Orange,Highlands Town PD
Schenectady,Scotia Vg PD
Westchester,Irvington Vg PD
Sullivan,Woodridge Vg PD
Montgomery,Montgomery County State Police
Suffolk,Southold Town PD
Nassau,Sands Point Vg PD
Nassau,Old Westbury Vg PD
Nassau,Old Brookville Vg PD
Monroe,Brighton Town PD
Livingston,Livingston County Sheriff
Ontario,Ontario County State Police
Onondaga,Solvay Vg PD
Westchester,Mount Pleasant Town PD
Albany,Watervliet City PD
Monroe,Brockport Vg PD
Montgomery,County Total
Westchester,Lewisboro Town PD
Rockland,Spring Valley Vg PD
Westchester,Westchester County (RR-CSX)
Madison,Madison County State Police
Oswego,Fulton City PD
Wayne,Palmyra Vg PD
Ulster,Plattekill Town PD
Tompkins,County Total
Nassau,Centre Island Vg PD
Albany,Albany County Park PD
Bronx,County Total
Schenectady,Schenectady City PD
Wayne,Newark Vg PD
Broome,Vestal Town PD
Hamilton,County Total
Columbia,Chatham Vg PD
Chenango,Oxford Vg PD
St Lawrence,Potsdam Vg PD
Livingston,Caledonia Vg PD
Ulster,Rosendale Town PD
Albany,Coeymans Town PD
Jefferson,Brownville Vg PD
Rockland,Rockland County (RR-NS)
Onondaga,Onondaga County (RR-RC)
Cayuga,Weedsport Vg PD
Madison,Hamilton Vg PD
Erie,Amherst Town PD
Rensselaer,Rensselaer Poly Tech Police
Lewis,Lowville Vg PD
Broome,County Total
Wyoming,Wyoming County Sheriff
Madison,Madison County Sheriff
Westchester,New Rochelle City PD
Suffolk,SUNY - Stony Brook
Nassau,Kings Point Vg PD
Westchester,Briarcliff Manor Vg PD
Ulster,Marlborough Town PD
Chautauqua,Dunkirk City PD
Saratoga,County Total
Westchester,Sleepy Hollow Vg PD
Westchester,Scarsdale Vg PD
Ulster,Rosendale Town PD
Dutchess,Dutchess County Sheriff
Ulster,Ulster County Sheriff
Livingston,Avon Vg PD
Erie,Hamburg Town PD
Oswego,Oswego County Park PD
St Lawrence,Gouverneur Vg PD
Oneida,New Hartford Town and Vg PD
Suffolk,SUNY - Stony Brook
Livingston,Livingston County Park PD
Chautauqua,Chautauqua County (RR-NS)
Wyoming,Warsaw Vg PD
Erie,Lancaster Vg PD
Schenectady,Niskayuna Town PD
Saratoga,Saratoga County Sheriff
St Lawrence,Ogdensburg City PD
Nassau,Centre Island Vg PD
Onondaga,SUNY - Upstate Medical Center
Oneida,Oriskany Vg PD
New York,County Total
Oneida,Oneida County Park PD
Madison,Chittenango Vg PD
Oneida,New Hartford Town and Vg PD
Oneida,Yorkville Vg PD
Nassau,Lake Success Vg PD
Saratoga,Stillwater Town PD
Schenectady,Schenectady County Sheriff
Jefferson,Carthage Vg PD
Schenectady,Schenectady County (RR-D and H)
Suffolk,County Total
Orange,Cornwall-On-Hudson Vg PD
Onondaga,Clay Town PD
Columbia,Hudson City PD
Lewis,Lewis County State Police
Oneida,Sherrill City PD
Steuben,Painted Post Vg PD
Genesee,LeRoy Vg PD
Orleans,Orleans County Sheriff
Clinton,Rouses Point Vg PD
Wyoming,Perry Vg PD
Niagara,Niagara County (RR-CSX)
Orange,Chester Vg PD
Orange,Crawford Town PD
Erie,East Aurora-Town Of Aurora PD
Schenectady,Glenville Town PD
Albany,Green Island Vg PD
Orleans,Albion Vg PD
Monroe,Gates Town PD
St Lawrence,Norfolk Town PD
Monroe,Greece Town PD
Chautauqua,Fredonia Vg PD
Putnam,Putnam Valley Town PD
Greene,Athens Vg PD
Otsego,Otsego County State Police
Allegany,Friendship Town PD
Onondaga,Liverpool Vg PD
Nassau,Nassau County Park PD
Livingston,Livingston County Park PD
Suffolk,East Hampton Vg PD
Ulster,Ashokan PCT (NYC-BWSP)
Putnam,County Total
Monroe,Monroe County (RR-RC)
Wyoming,Attica Vg PD
Erie,Kenmore Vg PD
Nassau,Nassau County Park PD
Nassau,Great Neck Estates Vg PD
Chemung,Chemung County Sheriff
Allegany,Rushford Town PD
Steuben,Hornell City PD
Wyoming,County Total
Saratoga,Corinth Vg PD
Monroe,East Rochester Vg PD
Orange,Highland Falls Vg PD
Putnam,County Total
